52,0,100,0,100,26,52,26
319,50,477,50,477,102,319,102
867,50,1046,50,1046,95,867,95
697,55,833,55,833,97,697,97
85,63,287,63,287,104,85,104
843,121,904,121,904,164,843,164
908,121,1042,121,1042,162,908,162
704,125,835,122,836,165,705,167
268,130,475,128,476,167,268,170
72,132,203,132,203,169,72,169
207,132,270,132,270,169,207,169
76,214,166,214,166,246,76,246
177,216,302,216,302,246,177,246
324,289,451,286,451,319,324,321
70,289,317,289,317,322,70,322
916,317,1001,317,1001,397,916,397
69,374,272,374,272,412,69,412
326,417,434,417,434,442,326,442
59,419,205,419,205,444,59,444
210,419,320,419,320,442,210,442
64,484,322,480,323,518,65,522
1050,543,1079,541,1090,674,1061,676
45,572,251,540,260,596,54,628
44,630,181,633,180,664,44,661
